year,state,typical_home_value
2009,Alabama,128447.614467
2009,Alaska,248788.519082
2009,Arizona,173044.572368
2009,Arkansas,119439.742325
2009,California,308873.463094
2009,Colorado,222205.371767
2009,Connecticut,264720.313499
2009,Delaware,245693.800036
2009,District of Columbia,364438.757396
2009,Florida,160228.673485
2009,Georgia,144476.146759
2009,Hawaii,422965.943334
2009,Idaho,174828.559022
2009,Illinois,173924.281609
2009,Indiana,114331.509404
2009,Iowa,118287.854179
2009,Kansas,117236.836730
2009,Kentucky,106941.571940
2009,Louisiana,154750.734220
2009,Maine,182794.783823
2009,Maryland,274420.815574
2009,Massachusetts,303370.568006
2009,Michigan,106671.801636
2009,Minnesota,176544.443634
2009,Mississippi,114436.951635
2009,Missouri,130521.667309
2009,Montana,188743.792212
2009,Nebraska,126025.692980
2009,Nevada,173735.738265
2009,New Hampshire,218379.299871
2009,New Jersey,311817.831771
2009,New Mexico,177711.040367
2009,New York,265169.719584
2009,North Carolina,161226.372133
2009,North Dakota,161485.655225
2009,Ohio,118694.901379
2009,Oklahoma,108290.434596
2009,Oregon,235512.953709
2009,Pennsylvania,159706.475595
2009,Rhode Island,231877.977960
2009,South Carolina,150194.308008
2009,South Dakota,144868.940071
2009,Tennessee,138635.806028
2009,Texas,138067.969044
2009,Utah,217524.918832
2009,Vermont,212241.787093
2009,Virginia,222929.139439
2009,Washington,271723.429735
2009,West Virginia,101739.882490
2009,Wisconsin,163465.759597
2009,Wyoming,201525.551481
2010,Alabama,123302.552877
2010,Alaska,249595.236376
2010,Arizona,155876.372989
2010,Arkansas,117712.336661
2010,California,304968.798640
2010,Colorado,220352.281917
2010,Connecticut,254065.048955
2010,Delaware,237555.991617
2010,District of Columbia,363837.032390
2010,Florida,144733.309043
2010,Georgia,134235.691778
2010,Hawaii,414261.580316
2010,Idaho,158511.319986
2010,Illinois,162576.816980
2010,Indiana,113050.372842
2010,Iowa,117840.966465
2010,Kansas,116818.227253
2010,Kentucky,106175.287343
2010,Louisiana,154324.379208
2010,Maine,177686.230467
2010,Maryland,259163.479546
2010,Massachusetts,304536.877116
2010,Michigan,98497.232616
2010,Minnesota,171475.179662
2010,Mississippi,111444.699086
2010,Missouri,127619.494439
2010,Montana,183052.849004
2010,Nebraska,127610.775137
2010,Nevada,147492.654619
2010,New Hampshire,211881.354705
2010,New Jersey,300940.708724
2010,New Mexico,172035.507340
2010,New York,261073.676248
2010,North Carolina,155735.024276
2010,North Dakota,161905.525516
2010,Ohio,115738.321096
2010,Oklahoma,109232.642810
2010,Oregon,221471.399078
2010,Pennsylvania,159072.590408
2010,Rhode Island,228107.490034
2010,South Carolina,145028.530837
2010,South Dakota,143832.844676
2010,Tennessee,135743.648217
2010,Texas,137419.568582
2010,Utah,203927.667802
2010,Vermont,209446.570849
2010,Virginia,218544.513228
2010,Washington,256173.356582
2010,West Virginia,99693.509415
2010,Wisconsin,159531.288213
2010,Wyoming,198353.262865
2011,Alabama,117603.501168
2011,Alaska,246535.857273
2011,Arizona,138131.099534
2011,Arkansas,114525.731019
2011,California,288355.211203
2011,Colorado,211877.759424
2011,Connecticut,240180.630791
2011,Delaware,222809.116559
2011,District of Columbia,361494.723220
2011,Florida,131498.701430
2011,Georgia,121642.425791
2011,Hawaii,414446.704385
2011,Idaho,142778.037769
2011,Illinois,148859.375450
2011,Indiana,109963.142975
2011,Iowa,115192.083858
2011,Kansas,113093.672836
